,hotel_id,homestay_name,area,region,place,price,amenities,price_type
20,20,4 Bedroom Luxurious Homestay in Arossim - South Goa,arrosim,south goa,goa,2400,"['Wireless Internet', 'Air Conditioner', 'Travel Assistance', 'Fridge', 'Hot water', 'Family/Kid Friendly', 'Balcony', 'Doctor on call', 'Laundry', 'essentials', 'TV', 'Garden', 'Free Parking']",budget
21,21,3 Bedroom Boutique Cottage in Candolim - North Goa,candolim,north goa,goa,107800,"['Wireless Internet', 'Air Conditioner', 'Travel Assistance', 'Fridge', 'Living Room', 'Hot water', 'Family/Kid Friendly', 'Balcony', 'Laundry', 'Breakfast', 'Digital Payments Accepted', 'essentials', 'TV', 'Room Service', 'Garden', 'Free Parking', 'Bar / Restaurant', 'Swimming Pool']",luxury
22,22,"Peaceful Guesthouse in Candolim, North Goa",candolim,north goa,goa,2220,"['Wireless Internet', 'Air Conditioner', 'Travel Assistance', 'Fridge', 'Living Room', 'Hot water', 'Family/Kid Friendly', 'Doctor on call', 'Balcony', 'essentials', 'TV', 'Garden', 'Free Parking', 'Bar / Restaurant']",budget
23,23,Charming Guesthouse in Candolim - North Goa,candolim,north goa,goa,4500,"['Wireless Internet', 'Air Conditioner', 'Travel Assistance', 'Fridge', 'Living Room', 'Hot water', 'Doctor on call', 'essentials', 'TV', 'Garden', 'Free Parking', 'Bar / Restaurant']",budget
24,24,Six Bedroom Exotic Guesthouse in North Goa near Sinquerim beach,sinquerim beach,north goa,goa,4000,"['Wireless Internet', 'Air Conditioner', 'Travel Assistance', 'Hot water', 'Balcony', 'Laundry', 'Breakfast', 'Digital Payments Accepted', 'essentials', 'TV', 'Garden', 'Free Parking', 'Bar / Restaurant']",budget
25,25,Three Bedroom Villa in Arpora - North Goa,calangute,north goa,goa,6600,"['Wireless Internet', 'Air Conditioner', 'Fridge', 'Living Room', 'Hot water', 'Family/Kid Friendly', 'Balcony', 'Laundry', 'essentials', 'TV', 'Room Service', 'Garden', 'Free Parking', 'Swimming Pool']",comfort
26,26,Three Bedroom Goan Villa in Tivim - North Goa,bardez,north goa,goa,120006,"['Wireless Internet', 'Air Conditioner', 'Travel Assistance', 'Fridge', 'Living Room', 'Hot water', 'balcony', 'Family/Kid Friendly', 'Laundry', 'essentials', 'TV', 'Garden', 'Free Parking', 'Kitchen']",luxury
27,27,Pool View One Bedroom Studio Apartment in Arpora - North Goa,calangute,north goa,goa,3850,"['Wireless Internet', 'Air Conditioner', 'Fridge', 'Living Room', 'Hot water', 'Family/Kid Friendly', 'Balcony', 'Laundry', 'Breakfast', 'essentials', 'TV', 'Room Service', 'Garden', 'swimming pool', 'Free Parking', 'Microwave']",budget
28,28,Studio Apartments in Calangute - North Goa,calangute,north goa,goa,1950,"['Air Conditioner', 'Fridge', 'Hot water', 'Doctor on call', 'Balcony', 'essentials', 'TV', 'Free Parking', 'Bar / Restaurant']",budget
29,29,2 Bedroom Air-Conditioned Apartment near Colva Beach - Goa,colva,south goa,goa,3500,"['Air Conditioner', 'Fridge', 'Living Room', 'Gated complex', 'Hot water', 'Family/Kid Friendly', 'Balcony', 'essentials', 'TV', 'Free Parking']",budget
